ID | Categoría | Subcategoría | Sub-subcategoría
performance-masa-centrado-calculo-masa | Performance y planificación del vuelo | Masa y centrado | Cálculo de la posición del centro de gravedad
performance-masa-centrado-calculo-cg | Performance y planificación del vuelo | Masa y centrado | Masa máxima al despegue y al aterrizaje
performance-masa-centrado-maxima-despegue-aterrizaje | Performance y planificación del vuelo | Masa y centrado | Datum y ubicación del centro de gravedad
performance-masa-centrado-datum-ubicacion | Performance y planificación del vuelo | Planificación del vuelo | Planificación de vuelos VFR (en general)
performance-planificacion-vuelo-vfr | Navegación | Parámetros básicos de navegación | Rumbo (magnético, verdadero y de brújula)
navegacion-parametros-basicos-rumbo | Navegación | Parámetros básicos de navegación | Distancia (millas, kilómetros)
navegacion-parametros-basicos-distancia | Navegación | Parámetros básicos de navegación | Altitud verdadera
navegacion-parametros-basicos-altitud | Navegación | Parámetros básicos de navegación | Velocidad (indicada, calibrada, verdadera)
navegacion-parametros-basicos-velocidad | Navegación | Parámetros básicos de navegación | Hora (UTC, local)
navegacion-parametros-basicos-hora | Navegación | Parámetros básicos de navegación | Tiempo estimado de vuelo (ETE)
navegacion-parametros-basicos-ete | Navegación | Parámetros básicos de navegación | Cálculo de combustible y reservas
navegacion-parametros-basicos-combustible | Navegación | La Tierra | Meridianos y paralelos (latitud y longitud)
navegacion-tierra-meridianos-paralelos | Navegación | La Tierra | Coordenadas geográficas (posición)
navegacion-tierra-coordenadas | Navegación | Hora | Hora solar (orto y ocaso)
navegacion-hora-solar | Navegación | Hora | Hora UTC, GMT y local; husos horarios
navegacion-hora-utc-gmt | Navegación | Direcciones y distancias | Norte verdadero, magnético y de brújula
navegacion-direcciones-distancias-norte | Navegación | Direcciones y distancias | Desviación de la brújula (deviation)
navegacion-direcciones-distancias-desviacion | Navegación | Direcciones y distancias | Unidades de medida (NM, km, m, ft)
navegacion-direcciones-distancias-unidades | Navegación | Direcciones y distancias | Conversión de unidades de distancia/altitud
navegacion-direcciones-distancias-conversion | Navegación | Magnetismo terrestre | Variación magnética anual
navegacion-magnetismo-variacion | Navegación | Magnetismo terrestre | Campos magnéticos (interferencias)
navegacion-magnetismo-campos | Navegación | Magnetismo terrestre | Magnetismo y brújula (errores)
navegacion-magnetismo-brujula | Navegación | Cartografía | Proyecciones cartográficas (cilíndricas, cónicas)
navegacion-cartografia-proyecciones | Navegación | Cartografía | Propiedades de las cartas (escala, símbolos, relieve)
navegacion-cartografia-propiedades | Navegación | Cartografía | Círculos máximos y menores
navegacion-cartografia-circulos | Navegación | Cartografía | Rumbos de ruta y declinación (variación)
navegacion-cartografia-rumbos | Navegación | Cartografía | Medida de direcciones y distancias en carta
navegacion-cartografia-medida | Navegación | Navegación a estima | Preparación y planificación del viaje
navegacion-estima-preparacion | Navegación | Navegación a estima | Selección y trazado de la ruta
navegacion-estima-seleccion-ruta | Navegación | Navegación a estima | Triángulo de velocidades (cálculo de deriva)
navegacion-estima-triangulo-velocidades | Navegación | Navegación a estima | Velocidad del viento (componentes)
navegacion-estima-velocidad-viento | Navegación | Navegación a estima | Velocidades IAS, CAS, TAS
navegacion-estima-velocidades | Navegación | Navegación a estima | Velocidad sobre el suelo (GS)
navegacion-estima-velocidad-suelo | Navegación | Navegación a estima | Rumbo resultante y ángulo de deriva
navegacion-estima-rumbo-deriva | Navegación | Planificación de vuelo VFR | Plan de vuelo operacional
navegacion-planificacion-vfr-plan | Navegación | Planificación de vuelo VFR | Procedimientos de extravío (pérdida de ruta)
navegacion-planificacion-vfr-extravio | Navegación | Planificación de vuelo VFR | Revisión de rumbo, distancia, tiempo y posición
navegacion-planificacion-vfr-revision | Navegación | Planificación de vuelo VFR | Deriva y corrección de la deriva
navegacion-planificacion-vfr-deriva | Navegación | Planificación de vuelo VFR | Navegación observada (pilotaje visual)
navegacion-planificacion-vfr-observada | Navegación | Planificación de vuelo VFR | Aeródromos alternativos
navegacion-planificacion-vfr-alternativos | Navegación | Desorientación | Actuación del piloto y soluciones ante desorientación
navegacion-desorientacion-actuacion | Navegación | Sistemas de navegación modernos | Navegación GNSS avanzada (GPS, Galileo, etc.)
navegacion-sistemas-modernos-gnss | Navegación | Sistemas de navegación modernos | Automatización y ayudas digitales 
navegacion-sistemas-modernos-automatizacion | Conocimiento general de la aeronave | El motor y sus sistemas | Sistema de alimentación de combustible
conocimiento-motor-sistemas-combustible | Conocimiento general de la aeronave | El motor y sus sistemas | Sistema de refrigeración
conocimiento-motor-sistemas-refrigeracion | Conocimiento general de la aeronave | El motor y sus sistemas | Sistema de lubricación
conocimiento-motor-sistemas-lubricacion | Conocimiento general de la aeronave | El motor y sus sistemas | Sistema de encendido
conocimiento-motor-sistemas-encendido | Conocimiento general de la aeronave | El motor y sus sistemas | Sistema eléctrico
conocimiento-motor-sistemas-electrico | Conocimiento general de la aeronave | El motor y sus sistemas | Nuevas tecnologías de motor (inyección electrónica,eléctricos)
conocimiento-motor-sistemas-nuevas-tecnologias | Conocimiento general de la aeronave | Hélices | Tipos de hélices (paso fijo vs. variable)
conocimiento-helices-tipos | Conocimiento general de la aeronave | Hélices | Hélices de velocidad constante (paso ajustable)
conocimiento-helices-velocidad-constante | Conocimiento general de la aeronave | Hélices | Manejo y precauciones de la hélice
conocimiento-helices-manejo | Conocimiento general de la aeronave | El avión | Estructura y cargas de la célula
conocimiento-avion-estructura | Conocimiento general de la aeronave | El avión | Ala y superficies de cola (diseño, materiales, límites)
conocimiento-avion-ala | Conocimiento general de la aeronave | El avión | Fuselaje (diseño, materiales, límites)
conocimiento-avion-fuselaje | Conocimiento general de la aeronave | El avión | Superficies de control (diseño, materiales, límites)
conocimiento-avion-superficies-control | Conocimiento general de la aeronave | El avión | Tren de aterrizaje (ruedas, flotadores, patines)
conocimiento-avion-tren-aterrizaje | Conocimiento general de la aeronave | El avión | Controles de vuelo (mecánicos, automáticos, secundarios)
conocimiento-avion-controles-vuelo | Conocimiento general de la aeronave | El avión | Materiales compuestos y nuevas tecnologías estructurales
conocimiento-avion-materiales | Conocimiento general de la aeronave | Instrumentos y equipos | Anemómetro (indicador de velocidad)
conocimiento-instrumentos-anemometro | Conocimiento general de la aeronave | Instrumentos y equipos | Velocidades IAS y TAS (uso del anemómetro)
conocimiento-instrumentos-velocidades | Conocimiento general de la aeronave | Instrumentos y equipos | Altímetro (indicador de altitud)
conocimiento-instrumentos-altimetro | Conocimiento general de la aeronave | Instrumentos y equipos | Procedimiento de reglaje del altímetro (QNH, QFE)
conocimiento-instrumentos-reglaje | Conocimiento general de la aeronave | Instrumentos y equipos | Variómetro 
conocimiento-instrumentos-variometro | Conocimiento general de la aeronave | Instrumentos y equipos | Tacómetro de motor (RPM)
conocimiento-instrumentos-tacometro | Conocimiento general de la aeronave | Instrumentos y equipos | Indicador de viraje y derrape
conocimiento-instrumentos-viraje | Conocimiento general de la aeronave | Instrumentos y equipos | Equipos GPS y electrónicos (EFIS) a bordo
conocimiento-instrumentos-gps | Meteorología | Presión atmosférica y altimetría | Relación presión-temperatura-altitud
meteorologia-presion-relacion | Meteorología | Presión atmosférica y altimetría | Atmósfera estándar OACI
meteorologia-presion-atmosfera | Meteorología | Presión atmosférica y altimetría | Altitud de presión y altitud de densidad
meteorologia-presion-altitud | Meteorología | Presión atmosférica y altimetría | QFE, QNH, QNE (calibración altímetro)
meteorologia-presion-calibracion | Meteorología | Viento | Cizalladura del viento (wind shear)
meteorologia-viento-cizalladura | Meteorología | Viento | Rachas de viento (la racha)
meteorologia-viento-rachas | Meteorología | Situaciones típicas | Fenómenos típicos (frentes, tormentas, efectos orográficos)
meteorologia-situaciones-fenomenos | Meteorología | Masas de aire y frentes | Frente frío
meteorologia-masas-frentes-frio | Meteorología | Masas de aire y frentes | Frente cálido
meteorologia-masas-frentes-calido | Meteorología | Masas de aire y frentes | Frente ocluido (oclusión fría y cálida)
meteorologia-masas-frentes-ocluido | Meteorología | Masas de aire y frentes | Frente estacionario
meteorologia-masas-frentes-estacionario | Meteorología | Masas de aire y frentes | Condiciones antes/durante/después de un frente cálido
meteorologia-masas-frentes-condiciones-calido | Meteorología | Masas de aire y frentes | Condiciones antes/durante/después de un frente frío
meteorologia-masas-frentes-condiciones-frio | Meteorología | Sistemas de presión | Borrascas (bajas presiones)
meteorologia-sistemas-presion-borrascas | Meteorología | Sistemas de presión | Anticiclones (altas presiones)
meteorologia-sistemas-presion-anticiclones | Meteorología | Nubes | Clasificación de las nubes (altas, medias, bajas, vertical)
meteorologia-nubes-clasificacion | Meteorología | Nubes | Formación de nubes orográficas
meteorologia-nubes-orograficas | Meteorología | Nubes | Formación de nubes de turbulencia
meteorologia-nubes-turbulencia | Meteorología | Nubes | Formación de nubes convectivas
meteorologia-nubes-convectivas | Meteorología | Nubes | Formación de nubes de advección
meteorologia-nubes-adveccion | Meteorología | Nubes | Formación de nubes frontales
meteorologia-nubes-frontales | Meteorología | Nubes | Condiciones de vuelo según tipo de nube
meteorologia-nubes-condiciones | Meteorología | Precipitación | Tipos de precipitación (frontal, orográfica)
meteorologia-precipitacion-tipos | Meteorología | Precipitación | Efectos de la precipitación en vuelo
meteorologia-precipitacion-efectos | Meteorología | Engelamiento (hielo) | Clases de engelamiento (hielo)
meteorologia-engelamiento-clases | Meteorología | Engelamiento (hielo) | Nieve húmeda y escarcha
meteorologia-engelamiento-nieve-escarcha | Meteorología | Engelamiento (hielo) | Engelamiento según el tipo de nube
meteorologia-engelamiento-nubes | Meteorología | Engelamiento (hielo) | Engelamiento de sistemas (carburador, bordes de ataque, hélice)
meteorologia-engelamiento-sistemas | Meteorología | Operaciones en hielo | Operación en condiciones de hielo (precauciones)
meteorologia-operaciones-hielo-precauciones | Meteorología | Tormentas | Condiciones de formación de tormentas
meteorologia-tormentas-condiciones | Meteorología | Tormentas | Causas de las tormentas
meteorologia-tormentas-causas | Meteorología | Tormentas | Estructura de una tormenta (formación, desarrollo, madurez, disipación)
meteorologia-tormentas-estructura | Meteorología | Tormentas | Clasificación de las tormentas
meteorologia-tormentas-clasificacion | Meteorología | Tormentas | Vuelo a través de tormentas (riesgos)
meteorologia-tormentas-vuelo | Meteorología | Visibilidad | Definición de visibilidad
meteorologia-visibilidad-definicion | Meteorología | Visibilidad | Visibilidad horizontal vs oblicua
meteorologia-visibilidad-horizontal-oblicua | Meteorología | Visibilidad | Ilusiones ópticas (por visibilidad)
meteorologia-visibilidad-ilusiones | Meteorología | Visibilidad | Fenómenos: niebla, neblina, calima, humo
meteorologia-visibilidad-fenomenos | Procedimientos operacionales | Definición de procedimiento operacional | Necesidad de los procedimientos
procedimientos-definicion
factores-comportamiento-motivacion | Factores humanos | El comportamiento humano | Motivación
factores-comportamiento-error | Factores humanos | El comportamiento humano | Error humano (modelos, tipos, prevención)
factores-decision-evaluacion | Factores humanos | Evaluación y toma de decisiones | Evaluación del piloto (capacidades, autoevaluación)
factores-decision-proceso | Factores humanos | Evaluación y toma de decisiones | Proceso de toma de decisiones
factores-decision-influyentes | Factores humanos | Evaluación y toma de decisiones | Factores influyentes en la decisión
factores-decision-tipos | Factores humanos | Evaluación y toma de decisiones | Tipos de decisiones (rutinarias vs emergencia)
factores-decision-responsabilidad | Factores humanos | Evaluación y toma de decisiones | Responsabilidad del piloto
factores-decision-conciencia | Factores humanos | Evaluación y toma de decisiones | Conciencia situacional (percepción del entorno)
factores-decision-riesgos | Factores humanos | Evaluación y toma de decisiones | Valoración de riesgos
factores-decision-estres | Factores humanos | Evaluación y toma de decisiones | Gestión del estrés (en la toma de decisiones)
factores-decision-crm | Factores humanos | Evaluación y toma de decisiones | Gestión de recursos de cabina (CRM)
factores-salud-estado | Factores humanos | Vuelo y salud | Estado físico y mental del piloto
factores-salud-incapacitacion | Factores humanos | Vuelo y salud | Incapacitación (causas y síntomas)
factores-salud-problemas | Factores humanos | Vuelo y salud | Problemas médicos en vuelo (digestivos, cardíacos, neurológicos)
factores-sustancias-tabaco | Factores humanos | Sustancias (tóxicos) | Tabaco (efectos fisiológicos)
factores-sustancias-alcohol | Factores humanos | Sustancias (tóxicos) | Alcohol (efectos y limitaciones legales)
factores-sustancias-cafeina | Factores humanos | Sustancias (tóxicos) | Cafeína (efectos en el cuerpo)
factores-sustancias-medicamentos | Factores humanos | Sustancias (tóxicos) | Medicamentos (efectos secundarios)
factores-sustancias-drogas | Factores humanos | Sustancias (tóxicos) | Drogas (impacto en el rendimiento)
factores-sueno-funcion | Factores humanos | Sueño | Función del sueño en el rendimiento
factores-sueno-trastornos | Factores humanos | Sueño | Trastornos del sueño (prevención)
factores-fatiga-definicion | Factores humanos | Fatiga | Fatiga del piloto (definición, tipos, causas, prevención)
factores-estres-tipos | Factores humanos | Estrés y ansiedad | Tipos de estrés, identificación y manejo
factores-higiene-nutricion | Factores humanos | Higiene y vuelo | Nutrición y alimentación previa al vuelo (higiene personal)
com-radiotelef-alfabeto | Comunicaciones | Procedimientos radiotelefónicos | Alfabeto fonético y pronunciación
com-radiotelef-distintivos | Comunicaciones | Procedimientos radiotelefónicos | Distintivos de llamada (call sign)
com-radiotelef-transmision | Comunicaciones | Procedimientos radiotelefónicos | Transmisión y recepción (técnicas de fraseo)
com-fraseologia-circuito | Comunicaciones | Fraseología VFR estándar | Comunicaciones en el circuito de tráfico de aeródromo
com-fraseologia-mensajes | Comunicaciones | Fraseología VFR estándar | Mensajes de salida, ruta y llegada (posiciones)
com-fraseologia-frecuencias | Comunicaciones | Fraseología VFR estándar | Uso de frecuencias (AFIS, unicom, emergencia)
com-emergencia-socorro | Comunicaciones | Comunicaciones de emergencia | Mensajes de socorro – "MAYDAY" (situaciones de emergencia)
com-emergencia-urgencia | Comunicaciones | Comunicaciones de emergencia | Mensajes de urgencia – "PAN-PAN" (situaciones urgentes)
com-emergencia-perdida | Comunicaciones | Comunicaciones de emergencia | Pérdida de comunicaciones (procedimientos NORDO)
com-emergencia-121 | Comunicaciones | Comunicaciones de emergencia | Frecuencia de emergencia 121.5 MHz (escucha obligatoria)
